year,units,value,method_of_travel,breakdown_of_domestic_tourism,transport_type
2014,Million Visits,0.7,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,0.8,Boat/Ship/Ferry,Visits,Boat
2016,Million Visits,2.1,Other,Visits,Other
2016,Million Visits,1.6,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,123.9,All,Visits,All
2018,Million Visits,137.8,All,Visits,All
2017,Million Visits,151.1,All,Visits,All
2017,Million Visits,8.5,Walked,Visits,Other
2014,Million Visits,1.4,Car - hired,Visits,Car
2015,Million Visits,7.7,Walked,Visits,Other
2016,Million Visits,142.0,All,Visits,All
2018,Million Visits,2.7,Car - hired,Visits,Car
2018,Million Visits,0.3,Lorry/Truck/Van,Visits,Other
2018,Million Visits,0.2,Boat/Ship/Ferry,Visits,Boat
2015,Million Visits,0.6,Boat/Ship/Ferry,Visits,Boat
2015,Million Visits,0.1,Lorry/Truck/Van,Visits,Other
2019,Million Visits,0.3,Lorry/Truck/Van,Visits,Other
2016,Million Visits,0.3,Lorry/Truck/Van,Visits,Other
2013,Million Visits,0.4,Lorry/Truck/Van,Visits,Other
2019,Million Visits,2.3,Car - hired,Visits,Car
2015,Million Visits,1.7,Car - hired,Visits,Car
2017,Million Visits,0.6,Tube,Visits,Rail
2013,Million Visits,0.2,Tube,Visits,Rail
2016,Million Visits,2.5,Car - hired,Visits,Car
2014,Million Visits,8.2,Walked,Visits,Other
2017,Million Visits,6.4,Car - hired,Visits,Car
2016,Million Visits,7.9,Walked,Visits,Other
2014,Million Visits,0.1,Tube,Visits,Rail
2018,Million Visits,0.6,Tube,Visits,Rail
2016,Million Visits,0.5,Tube,Visits,Rail
2015,Million Visits,0.1,Tube,Visits,Rail
2019,Million Visits,2.5,Bus or Coach - Organised Tour,Visits,Bus
2017,Million Visits,16.0,Train,Visits,Rail
2019,Million Visits,1.6,Tube,Visits,Rail
2018,Million Visits,1.1,Bus or Coach - Organised Tour,Visits,Bus
2014,Million Visits,4.3,Taxi,Visits,Car
2016,Million Visits,0.5,Caravan/Campervan,Visits,Other
2018,Million Visits,3.5,Taxi,Visits,Car
2018,Million Visits,16.8,Train,Visits,Rail
2013,Million Visits,13.2,Train,Visits,Rail
2016,Million Visits,14.1,Train,Visits,Rail
2015,Million Visits,2.9,Taxi,Visits,Car
2015,Million Visits,1.9,Bus or Coach - Organised Tour,Visits,Bus
2019,Million Visits,7.5,Walked,Visits,Other
2013,Million Visits,7.4,Walked,Visits,Other
2014,Million Visits,14.3,Train,Visits,Rail
2017,Million Visits,3.1,Bus or Coach - Organised Tour,Visits,Bus
2013,Million Visits,2.7,Taxi,Visits,Car
2013,Million Visits,0.2,Plane,Visits,Plane
2017,Million Visits,1.8,Plane,Visits,Plane
2014,Million Visits,82.2,Car - own/friends/family,Visits,Car
2017,Million Visits,3.9,Taxi,Visits,Car
2016,Million Visits,4.9,Taxi,Visits,Car
2013,Million Visits,0.5,Motor cycle,Visits,Other
2013,Million Visits,0.4,Caravan/Campervan,Visits,Other
2014,Million Visits,0.5,Plane,Visits,Plane
2019,Million Visits,1.2,Bicycle,Visits,Other
2018,Million Visits,0.3,Tram,Visits,Rail
2019,Million Visits,80.0,Car - own/friends/family,Visits,Car
2015,Million Visits,14.2,Bus or Coach - Regular,Visits,Bus
2018,Million Visits,0.7,Bicycle,Visits,Other
2016,Million Visits,0.7,Plane,Visits,Plane
2019,Million Visits,12.7,Bus or Coach - Regular,Visits,Bus
2014,Million Visits,0.3,Bus or Coach - Minibus,Visits,Bus
2015,Million Visits,0.2,Tram,Visits,Rail
2015,Million Visits,76.0,Car - own/friends/family,Visits,Car
2017,Million Visits,1.5,Bicycle,Visits,Other
2015,Million Visits,0.9,Plane,Visits,Plane
2019,Million Visits,0.4,Caravan/Campervan,Visits,Other
2013,Million Visits,0.2,Bus or Coach - Minibus,Visits,Bus
2018,Million Visits,1.7,Plane,Visits,Plane
2015,Million Visits,0.9,Bus or Coach - Minibus,Visits,Bus
2014,Million Visits,0.2,Motor cycle,Visits,Other
2017,Million Visits,0.8,Caravan/Campervan,Visits,Other
2019,Million Visits,5.7,Taxi,Visits,Car
2014,Million Visits,11.6,Bus or Coach - Regular,Visits,Bus
2014,Million Visits,0.1,Caravan/Campervan,Visits,Other
2019,Million Visits,1.3,Plane,Visits,Plane
2018,Million Visits,0.2,Caravan/Campervan,Visits,Other
2014,Million Visits,1.3,Bicycle,Visits,Other
2016,Million Visits,0.1,Boat/Ship/Ferry,Visits,Boat
2015,Million Visits,124.1,All,Visits,All
2013,Million Visits,1.5,Bicycle,Visits,Other
2017,Million Visits,92.6,Car - own/friends/family,Visits,Car
2016,Million Visits,13.8,Bus or Coach - Regular,Visits,Bus
2015,Million Visits,0.8,Bicycle,Visits,Other
2019,Million Visits,0.5,Boat/Ship/Ferry,Visits,Boat
2013,Million Visits,0.7,Other,Visits,Other
2013,Million Visits,1.7,Car - hired,Visits,Car
2014,Million Visits,127.1,All,Visits,All
2019,Million Visits,133.6,All,Visits,All
2018,Million Visits,11.2,Walked,Visits,Other
2017,Million Visits,0.5,Boat/Ship/Ferry,Visits,Boat
2015,Million Visits,0.2,Motor cycle,Visits,Other
